0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.50339,-9.19385,-8.85936,-8.49866,-8.11055,-7.69399,-7.24828,-6.77328,-6.26973,-5.73955,-5.18635,-4.61567,-4.03525,-3.45527,-2.8877,-2.34596,-1.84371,-1.39343,-1.00505,-0.684502,-0.432982,-0.246883,-0.118494,-0.0373761,0.00797847,0.0285705,0.0337517,0.0306433,0.0240937,0.0170053,0.0108352,0.00610071,0.00279462,0.000674021,-0.000565516,-0.00120226,-0.0014557,-0.00148317,-0.00138968,-0.00124095,-0.00107565,-0.000914756,-0.000768419,-0.000640468,-0.000531266,-0.000439442,-0.000362941,-0.00029952,-0.000247079,-0.000203727,-0.000167843,-0.000134581,-0.000100932,-6.75242e-05,-3.49703e-05,-4.17579e-06,2.39131e-05,4.83166e-05,6.80437e-05,8.21754e-05,9.00543e-05,9.13671e-05,8.6314e-05,7.57023e-05,6.09754e-05,4.41051e-05,2.73559e-05,1.28892e-05,2.30608e-06,-3.7385e-06,-5.6791e-06,-4.82293e-06,-2.81191e-06,-9.86754e-07,2.52158e-08,2.87222e-07,1.88161e-07,5.36669e-08,-3.90816e-09,-8.81409e-09,-2.60489e-09,9.76769e-11,2.7135e-10,8.64487e-11,2.05755e-11,7.23973e-12,2.69803e-12,7.10709e-13,1.16891e-13,6.83392e-15,-2.48655e-15,-9.85924e-16,-2.06493e-16,-3.06696e-17,-3.47228e-18,-3.09154e-19,-2.21293e-20,-1.31206e-21,-6.7751e-23,-2.77073e-24,0
-3.67417,-3.76346,-3.85835,-3.95686,-4.05601,-4.15159,-4.23803,-4.30837,-4.35431,-4.36659,-4.33551,-4.25188,-4.10809,-3.89953,-3.62581,-3.2919,-2.90859,-2.49211,-2.06272,-1.6424,-1.25195,-0.908239,-0.622069,-0.397358,-0.231599,-0.117465,-0.0449075,-0.00323399,0.0173165,0.024675,0.0246666,0.0211808,0.0165657,0.0120753,0.00826304,0.00528032,0.00307613,0.00151861,0.000460331,-0.000231499,-0.000664107,-0.000919009,-0.00105538,-0.00111483,-0.00112595,-0.00110795,-0.00107349,-0.00103072,-0.000984834,-0.000938971,-0.000894972,-0.000848678,-0.000795659,-0.000735767,-0.000668849,-0.000595412,-0.00051633,-0.000432935,-0.000347185,-0.000261801,-0.00017987,-0.000104934,-4.06115e-05,1.00196e-05,4.48121e-05,6.31799e-05,6.64425e-05,5.78787e-05,4.22535e-05,2.48325e-05,1.00989e-05,6.37468e-07,-3.32609e-06,-3.42222e-06,-1.93143e-06,-5.64453e-07,6.58365e-08,1.49811e-07,6.4796e-08,7.43615e-09,-4.48355e-09,-2.00759e-09,-1.73746e-10,8.6389e-11,2.87507e-11,4.4574e-12,1.24443e-12,5.47053e-13,1.58593e-13,2.84331e-14,2.7072e-15,-1.32588e-16,-1.0831e-16,-2.37241e-17,-3.39414e-18,-3.57821e-19,-2.88499e-20,-1.77601e-21,-7.28215e-23,1.91873e-24,0
-2.36075,-2.43043,-2.50734,-2.59158,-2.68294,-2.78075,-2.88363,-2.9893,-3.09429,-3.19369,-3.28097,-3.34796,-3.38514,-3.38225,-3.32942,-3.2187,-3.04577,-2.81159,-2.52342,-2.19472,-1.84391,-1.49182,-1.15861,-0.860798,-0.609179,-0.408143,-0.256276,-0.147942,-0.0751995,-0.0295389,-0.00314694,0.0104151,0.0160103,0.0170453,0.0157449,0.0134629,0.0109595,0.00861788,0.00659797,0.00493718,0.00361329,0.00257916,0.00178225,0.00117367,0.000711523,0.00036166,9.72219e-05,-0.00010264,-0.000253754,-0.000368178,-0.000454988,-0.000528321,-0.000594566,-0.000651126,-0.000695477,-0.000724808,-0.000736628,-0.0007289,-0.000700319,-0.000650777,-0.000581574,-0.000495815,-0.00039857,-0.000296474,-0.000197391,-0.000109296,-3.90646e-05,8.9909e-06,3.42251e-05,3.99604e-05,3.26378e-05,1.98866e-05,8.13805e-06,8.5202e-07,-1.78703e-06,-1.62109e-06,-6.95204e-07,-9.48239e-08,6.57814e-08,4.14504e-08,7.96286e-09,-1.17596e-09,-8.01433e-10,-6.13931e-11,4.65277e-11,1.80969e-11,4.15078e-12,9.66957e-13,2.2429e-13,3.74598e-14,2.68753e-15,-5.2876e-16,-2.25062e-16,-4.52538e-17,-6.36522e-18,-6.78507e-19,-5.59471e-20,-3.51499e-21,-1.53763e-22,-3.47341e-24,0
-1.78613,-1.84062,-1.90113,-1.96804,-2.04161,-2.12191,-2.20874,-2.30144,-2.39877,-2.49864,-2.59791,-2.69209,-2.77523,-2.83982,-2.87712,-2.87779,-2.83297,-2.73587,-2.58342,-2.37769,-2.12662,-1.84354,-1.54546,-1.25051,-0.975077,-0.73161,-0.527317,-0.364198,-0.240008,-0.149699,-0.0869286,-0.0452555,-0.0189191,-0.00320803,0.00547051,0.00970303,0.0112628,0.011312,0.0105803,0.00950597,0.00833906,0.0072122,0.00618812,0.00528976,0.00451843,0.00386472,0.00331505,0.00285473,0.00247001,0.00214843,0.00187923,0.00162671,0.00136762,0.00110577,0.00084477,0.000590428,0.000348942,0.00012692,-6.85886e-05,-0.000230418,-0.000352691,-0.000431067,-0.000463922,-0.000453269,-0.00040516,-0.00032962,-0.000239765,-0.00014992,-7.30079e-05,-1.78232e-05,1.2884e-05,2.25538e-05,1.88858e-05,1.04276e-05,3.3073e-06,-2.2028e-07,-9.20008e-07,-5.1092e-07,-1.13621e-07,1.90742e-08,1.95788e-08,4.37328e-09,-2.55027e-10,-2.87254e-10,-2.6741e-11,1.39181e-11,5.9189e-12,1.51953e-12,3.63039e-13,7.51192e-14,1.07018e-14,5.94648e-16,-1.42933e-16,-4.90198e-17,-8.47364e-18,-1.03208e-18,-9.57914e-20,-7.00006e-21,-4.24613e-22,-2.92368e-23,0
-1.45849,-1.50305,-1.55264,-1.60766,-1.66844,-1.73525,-1.8082,-1.88716,-1.9717,-2.06088,-2.15311,-2.24596,-2.33589,-2.41813,-2.48656,-2.53386,-2.55196,-2.53285,-2.46987,-2.35908,-2.20069,-1.99987,-1.76657,-1.5144,-1.25854,-1.0134,-0.790597,-0.597704,-0.438028,-0.311177,-0.214133,-0.142409,-0.0910553,-0.0553581,-0.0312369,-0.0153961,-0.00530694,0.000889605,0.00451476,0.00648205,0.00740715,0.00769715,0.00761561,0.00732993,0.00694422,0.00652146,0.00609852,0.00569571,0.00532338,0.00498561,0.00468288,0.00438085,0.00405094,0.00369435,0.00331202,0.00290829,0.00248879,0.00206084,0.00163402,0.00122069,0.000833848,0.000487632,0.000195676,-3.13135e-05,-0.00018678,-0.000270484,-0.00028945,-0.000257894,-0.000195322,-0.000122917,-5.89394e-05,-1.46871e-05,7.41395e-06,1.23947e-05,8.68884e-06,3.54745e-06,4.71086e-07,-4.08768e-07,-2.92026e-07,-7.53061e-08,3.88106e-09,8.02669e-09,1.90584e-09,2.72409e-12,-6.24141e-11,1.79753e-12,6.70732e-12,2.28284e-12,5.30103e-13,1.04074e-13,1.58861e-14,1.3179e-15,-1.05632e-16,-5.94101e-17,-1.17768e-17,-1.57367e-18,-1.59162e-19,-1.28316e-20,-8.71499e-22,-5.62909e-23,0
-1.24007,-1.27792,-1.32009,-1.36695,-1.41883,-1.47604,-1.53879,-1.60717,-1.68105,-1.76001,-1.84319,-1.92917,-2.01579,-2.09992,-2.17742,-2.24298,-2.29026,-2.3123,-2.30217,-2.25405,-2.16441,-2.03316,-1.86434,-1.66602,-1.44938,-1.22702,-1.01108,-0.811574,-0.635349,-0.485851,-0.363516,-0.266539,-0.191769,-0.135484,-0.0939688,-0.0638749,-0.0423753,-0.0272042,-0.0166127,-0.00928761,-0.00426854,-0.0008618,0.00142538,0.00293962,0.00392337,0.00454516,0.00492141,0.00513256,0.00523383,0.00526319,0.00524654,0.00519405,0.0050996,0.00495758,0.00476244,0.00451069,0.00420068,0.00383326,0.00341278,0.00294865,0.00245398,0.00194703,0.00145031,0.000987778,0.000583492,0.000257501,2.26362e-05,-0.000118794,-0.0001764,-0.000170443,-0.000127519,-7.40645e-05,-2.97258e-05,-3.43458e-06,6.09192e-06,5.79932e-06,2.70021e-06,5.33958e-07,-1.57587e-07,-1.44156e-07,-3.81847e-08,5.04586e-10,2.88773e-09,6.46672e-10,1.01665e-11,-9.89229e-12,3.98727e-12,2.77171e-12,8.21537e-13,1.75282e-13,2.91786e-14,3.32355e-15,1.0061e-16,-5.38462e-17,-1.43793e-17,-2.18026e-18,-2.38889e-19,-2.02881e-20,-1.37115e-21,-6.70178e-23,0
-1.07812,-1.11125,-1.14819,-1.18926,-1.2348,-1.28511,-1.34043,-1.40094,-1.46664,-1.53738,-1.61266,-1.69161,-1.77282,-1.85419,-1.93281,-2.00481,-2.06538,-2.10891,-2.1293,-2.12069,-2.07826,-1.99931,-1.8841,-1.73637,-1.56316,-1.37393,-1.17922,-0.989083,-0.811826,-0.65323,-0.516375,-0.401945,-0.308819,-0.234737,-0.176901,-0.132425,-0.0986209,-0.0731486,-0.0540695,-0.0398284,-0.0292171,-0.0213087,-0.0154054,-0.0109873,-0.0076688,-0.00516489,-0.00326646,-0.00181908,-0.000709593,0.000146044,0.000810057,0.00138723,0.00193016,0.0024237,0.00285379,0.00320365,0.00345821,0.00360454,0.00363285,0.00353846,0.00332354,0.00299853,0.00258348,0.00210688,0.00160494,0.00111747,0.000683312,0.000333952,8.76189e-05,-5.45664e-05,-0.000108561,-0.000102555,-6.83819e-05,-3.21264e-05,-7.93414e-06,2.18789e-06,3.39631e-06,1.70246e-06,3.6764e-07,-5.95827e-08,-6.3924e-08,-1.57534e-08,2.68307e-10,1.0009e-09,2.06624e-10,1.15234e-11,2.29437e-12,2.56024e-12,1.01007e-12,2.48038e-13,4.50169e-14,5.92856e-15,4.12956e-16,-3.51481e-17,-1.6194e-17,-2.84058e-18,-3.36748e-19,-2.98283e-20,-1.9999e-21,-8.46406e-23,0
-0.948482,-0.978192,-1.01132,-1.04818,-1.08908,-1.13431,-1.18414,-1.23875,-1.29825,-1.36258,-1.43149,-1.50441,-1.58038,-1.65791,-1.73489,-1.80845,-1.8749,-1.92978,-1.96801,-1.98428,-1.97367,-1.93243,-1.85877,-1.75358,-1.62062,-1.46631,-1.29882,-1.12701,-0.959156,-0.801995,-0.660222,-0.53638,-0.431135,-0.343733,-0.272505,-0.21533,-0.169959,-0.134257,-0.10632,-0.0845248,-0.0675414,-0.054296,-0.0439425,-0.0358226,-0.0294269,-0.0243629,-0.0203313,-0.017102,-0.0145003,-0.0123908,-0.0106696,-0.00909151,-0.00750905,-0.00594735,-0.00442847,-0.0029853,-0.00164998,-0.000454062,0.000571378,0.00139741,0.00200384,0.00237929,0.00252559,0.00246046,0.00221782,0.00184638,0.00140557,0.000958122,0.000560548,0.000253387,5.40539e-05,-4.45951e-05,-6.88998e-05,-5.31482e-05,-2.71262e-05,-7.95297e-06,4.65258e-07,1.84589e-06,9.40282e-07,1.94466e-07,-2.58135e-08,-2.60634e-08,-5.51517e-09,2.09191e-10,3.1587e-10,6.04143e-11,7.2879e-12,2.70333e-12,1.19535e-12,3.41227e-13,6.87585e-14,1.01277e-14,9.61562e-16,1.06602e-17,-1.59876e-17,-3.49468e-18,-4.58141e-19,-4.33175e-20,-3.07052e-21,-1.57142e-22,0
-0.838855,-0.866009,-0.896295,-0.930004,-0.967425,-1.00884,-1.05451,-1.10465,-1.15939,-1.21876,-1.28262,-1.3506,-1.42203,-1.49581,-1.57037,-1.64351,-1.71236,-1.77333,-1.82224,-1.85449,-1.8655,-1.85127,-1.80904,-1.73798,-1.6396,-1.5178,-1.37851,-1.2289,-1.07639,-0.927752,-0.788386,-0.661998,-0.550595,-0.454716,-0.373801,-0.306587,-0.251431,-0.206578,-0.170332,-0.14115,-0.117699,-0.0988516,-0.0836826,-0.0714436,-0.0615348,-0.0534785,-0.0468991,-0.0414987,-0.0370453,-0.0333537,-0.0302779,-0.0273981,-0.0244418,-0.0214424,-0.0184272,-0.0154449,-0.012545,-0.00977928,-0.00720341,-0.0048775,-0.00285266,-0.00117438,0.000125115,0.00103523,0.00156807,0.00176248,0.00168235,0.00141137,0.00104255,0.000664118,0.000344669,0.000122313,1.43977e-06,-4.01943e-05,-3.69914e-05,-1.97258e-05,-5.97883e-06,-1.50837e-08,9.64294e-07,4.6459e-07,8.35349e-08,-1.25164e-08,-9.54726e-09,-1.56629e-09,1.40902e-10,9.70735e-11,1.86961e-11,3.83549e-12,1.36139e-12,4.26233e-13,9.60093e-14,1.57346e-14,1.7826e-15,9.26522e-17,-1.25889e-17,-4.06053e-18,-6.06087e-19,-6.25876e-20,-4.88065e-21,-3.10376e-22,0
