0,2.34225,1,219.914
0.30103,2.1031,2,126.794
0.477121,1.93893,3,86.8825
0.60206,1.8346,4,68.329
0.69897,1.75624,5,57.0482
0.778151,1.70233,6,50.3881
0.845098,1.66151,7,45.8678
0.90309,1.63541,8,43.1927
0.954243,1.62023,9,41.7095
1,1.6137,10,41.0864
1.04139,1.61371,11,41.0876
1.07918,1.62135,12,41.8166
1.11394,1.63666,13,43.317
1.14613,1.65833,14,45.5338
1.17609,1.6845,15,48.361
1.20412,1.71539,16,51.9271
1.23045,1.74949,17,56.1679
1.25527,1.78582,18,61.0693
1.27875,1.82452,19,66.761
1.30103,1.86503,20,73.2879
1.32222,1.90745,21,80.808
1.34242,1.95193,22,89.5227
1.36173,1.99652,23,99.2016
1.38021,2.0393,24,109.471
1.39794,2.07791,25,119.649
1.41497,2.10951,26,128.681
1.43136,2.1319,27,135.486
1.44716,2.14155,28,138.532
1.4624,2.13763,29,137.287
1.47712,2.11697,30,130.911
1.49136,2.08074,31,120.432
1.50515,2.02579,32,106.119
1.51851,1.90418,33,80.2015
1.53148,1.87695,34,75.3268
1.54407,1.85851,35,72.1956
1.5563,1.70041,36,50.1664
1.5682,1.60757,37,40.5107
1.57978,1.16765,38,14.7111
1.59106,1.16319,39,14.5609
1.60206,1.11517,40,13.0368
1.61278,0.898701,41,7.91957
1.62325,0.772391,42,5.92095
1.63347,0.715843,43,5.19808
1.64345,0.701434,44,5.02845
1.65321,0.455908,45,2.85699
1.66276,0.500769,46,3.16789
1.6721,0.351948,47,2.24878
1.68124,0.305562,48,2.02098
1.6902,0.19434,49,1.56437
1.69897,0.194164,50,1.56374
1.70757,0.176008,51,1.49971
1.716,0.109041,52,1.28541
1.72428,0.0655927,53,1.16303
1.73239,0.0661493,54,1.16453
1.74036,0.00834171,55,1.01939
1.74819,-0.18545,56,0.652454
1.75587,-0.188324,57,0.648151
1.76343,-0.241019,58,0.574091
1.77085,-0.283327,59,0.520802
1.77815,-0.324916,60,0.473243
1.78533,-0.474842,61,0.335087
1.79239,-0.451019,62,0.353982
1.79934,-0.487107,63,0.325757
1.80618,0.291925,64,1.95851
1.81291,-1.0272,65,0.0939291
1.81954,-1.07941,66,0.0832885
1.82607,-1.17484,67,0.0668585
1.83251,-1.16096,68,0.0690301
1.83885,-1.31271,69,0.0486734
1.8451,-1.3751,70,0.0421603
1.85126,-1.50079,71,0.0315653
1.85733,-1.51164,72,0.0307861
1.86332,-1.62656,73,0.0236289
1.86923,-1.7281,74,0.0187024
1.87506,-1.83558,75,0.0146024
1.88081,-1.96672,76,0.0107964
1.88649,-2.05039,77,0.0089045
1.89209,-2.45843,78,0.00347991
1.89763,-2.37051,79,0.00426077
1.90309,-2.40939,80,0.00389595
1.90849,-2.68518,81,0.00206452
1.91381,-2.89586,82,0.001271
1.91908,-2.75038,83,0.00177672
1.92428,-3.21991,84,0.00060268
1.92942,-3.33597,85,0.000461345
1.9345,-3.49945,86,0.000316631
1.93952,-3.42337,87,0.00037725
1.94448,-3.75138,88,0.000177264
1.94939,-3.80334,89,0.000157273
1.95424,-3.92703,90,0.000118295
1.95904,-3.98337,91,0.000103903
1.96379,-4.04034,92,9.11303e-05
1.96848,-4.15273,93,7.03515e-05
1.97313,-4.2114,94,6.14618e-05
1.97772,-4.06066,95,8.69649e-05
1.98227,-4.36369,96,4.32822e-05
1.98677,-4.36362,97,4.32895e-05
1.99123,-4.36984,98,4.26741e-05
1.99564,-4.54846,99,2.82839e-05
2,-4.67261,100,2.12517e-05
2.00432,-4.79373,101,1.60795e-05
2.0086,-5.13482,102,7.3312e-06
2.01284,-5.16002,103,6.91801e-06
2.01703,-5.26875,104,5.38585e-06
2.02119,-5.49241,105,3.21799e-06
2.02531,-5.60268,106,2.49644e-06
2.02938,-5.75248,107,1.76817e-06
2.03342,-5.82664,108,1.49059e-06
2.03743,-5.92148,109,1.19818e-06
2.04139,-5.57237,110,2.6769e-06
2.04532,-5.63457,111,2.3197e-06
2.04922,-6.1144,112,7.68414e-07
2.05308,-6.25597,113,5.54669e-07
2.0569,-6.34609,114,4.50726e-07
2.0607,-6.39903,115,3.98994e-07
2.06446,-6.43625,116,3.66228e-07
2.06819,-6.22849,117,5.90894e-07
2.07188,-6.63636,118,2.31015e-07
2.07555,-6.57329,119,2.67123e-07
2.07918,-6.4559,120,3.50028e-07
2.08279,-6.05222,121,8.86706e-07
2.08636,-5.70112,122,1.99012e-06
2.08991,-5.52685,123,2.97269e-06
2.09342,-5.72227,124,1.89553e-06
2.09691,-5.74718,125,1.78986e-06
2.10037,-5.99069,126,1.02166e-06
2.1038,-6.4346,127,3.67618e-07
2.10721,-6.87087,128,1.34628e-07
2.11059,-7.19438,129,6.39169e-08
2.11394,-7.66842,130,2.14578e-08
2.11727,-7.86522,131,1.36389e-08
2.12057,-8.54677,132,2.83944e-09
