0.1,-1,2,0.30103,24,1.38021,0.0328046,-1.48406
0.2,-0.69897,2,0.30103,23,1.36173,0.0146148,-1.83521
0.3,-0.522879,2,0.30103,23,1.36173,0.00922765,-2.03491
0.4,-0.39794,2,0.30103,23,1.36173,0.00668908,-2.17463
0.5,-0.30103,2,0.30103,23,1.36173,0.00522676,-2.28177
0.6,-0.221849,2,0.30103,22,1.34242,0.00429847,-2.36669
0.7,-0.154902,2,0.30103,22,1.34242,0.00365055,-2.43764
0.8,-0.09691,2,0.30103,22,1.34242,0.0031333,-2.504
0.9,-0.0457575,2,0.30103,21,1.32222,0.00269032,-2.5702
1,2.89298e-16,2,0.30103,21,1.32222,0.0023121,-2.63599
1.1,0.0413927,2,0.30103,21,1.32222,0.00199668,-2.69969
1.2,0.0791812,2,0.30103,21,1.32222,0.00173969,-2.75953
1.3,0.113943,2,0.30103,21,1.32222,0.00153394,-2.81419
1.4,0.146128,2,0.30103,21,1.32222,0.00137116,-2.86291
1.5,0.176091,2,0.30103,21,1.32222,0.00124335,-2.90541
1.6,0.20412,2,0.30103,21,1.32222,0.00114351,-2.94176
1.7,0.230449,2,0.30103,21,1.32222,0.00106601,-2.97224
1.8,0.255273,2,0.30103,20,1.30103,0.00100652,-2.99718
1.9,0.278754,2,0.30103,20,1.30103,0.000961876,-3.01688
2,0.30103,2,0.30103,20,1.30103,0.000929743,-3.03164
2.1,0.322219,2,0.30103,20,1.30103,0.000908375,-3.04173
2.2,0.342423,2,0.30103,19,1.27875,0.000896328,-3.04753
2.3,0.361728,2,0.30103,19,1.27875,0.000892274,-3.0495
2.4,0.380211,2,0.30103,19,1.27875,0.000894805,-3.04827
2.5,0.39794,2,0.30103,19,1.27875,0.000902431,-3.04459
2.6,0.414973,2,0.30103,19,1.27875,0.000913536,-3.03927
2.7,0.431364,2,0.30103,19,1.27875,0.000926432,-3.03319
2.8,0.447158,2,0.30103,19,1.27875,0.000939528,-3.02709
2.9,0.462398,2,0.30103,19,1.27875,0.000951383,-3.02164
3,0.477121,2,0.30103,19,1.27875,0.000960821,-3.01736
3.1,0.491362,2,0.30103,19,1.27875,0.000966886,-3.01462
3.2,0.50515,2,0.30103,19,1.27875,0.000968795,-3.01377
3.3,0.518514,2,0.30103,18,1.25527,0.000965857,-3.01509
3.4,0.531479,2,0.30103,18,1.25527,0.000957421,-3.0189
3.5,0.544068,2,0.30103,18,1.25527,0.000942856,-3.02555
3.6,0.556303,2,0.30103,18,1.25527,0.000921615,-3.03545
3.7,0.568202,2,0.30103,18,1.25527,0.000893337,-3.04898
3.8,0.579784,2,0.30103,18,1.25527,0.000858016,-3.0665
3.9,0.591065,2,0.30103,18,1.25527,0.000816182,-3.08821
4,0.60206,2,0.30103,18,1.25527,0.000769053,-3.11404
4.1,0.612784,2,0.30103,18,1.25527,0.000718559,-3.14354
4.2,0.623249,2,0.30103,18,1.25527,0.000667209,-3.17574
4.3,0.633468,2,0.30103,18,1.25527,0.000617737,-3.2092
4.4,0.643453,2,0.30103,18,1.25527,0.000572642,-3.24212
4.5,0.653213,1,0,18,1.25527,0.000533717,-3.27269
4.6,0.662758,1,0,17,1.23045,0.000501743,-3.29952
4.7,0.672098,1,0,17,1.23045,0.000476448,-3.32198
4.8,0.681241,1,0,17,1.23045,0.000456794,-3.34028
4.9,0.690196,1,0,17,1.23045,0.000441361,-3.35521
5,0.69897,1,0,17,1.23045,0.000428728,-3.36782
5.1,0.70757,1,0,17,1.23045,0.000417708,-3.37913
5.2,0.716003,1,0,17,1.23045,0.000407419,-3.38996
5.3,0.724276,1,0,17,1.23045,0.000397278,-3.40091
5.4,0.732394,1,0,17,1.23045,0.000386927,-3.41237
5.5,0.740363,1,0,17,1.23045,0.000376177,-3.42461
5.6,0.748188,1,0,17,1.23045,0.000364949,-3.43777
5.7,0.755875,1,0,17,1.23045,0.000353241,-3.45193
5.8,0.763428,1,0,17,1.23045,0.000341097,-3.46712
5.9,0.770852,1,0,17,1.23045,0.0003286,-3.48333
6,0.778151,1,0,17,1.23045,0.000315842,-3.50053
6.1,0.78533,1,0,17,1.23045,0.000302939,-3.51864
6.2,0.792392,1,0,17,1.23045,0.000290001,-3.5376
6.3,0.799341,1,0,17,1.23045,0.000277142,-3.5573
6.4,0.80618,1,0,17,1.23045,0.000264467,-3.57763
6.5,0.812913,1,0,17,1.23045,0.000252068,-3.59848
6.6,0.819544,1,0,17,1.23045,0.000240027,-3.61974
6.7,0.826075,1,0,16,1.20412,0.000228409,-3.64129
6.8,0.832509,1,0,16,1.20412,0.000217271,-3.663
6.9,0.838849,1,0,16,1.20412,0.000206643,-3.68478
7,0.845098,1,0,15,1.17609,0.00019642,-3.70681
7.1,0.851258,1,0,15,1.17609,0.000186989,-3.72818
7.2,0.857332,1,0,15,1.17609,0.000177996,-3.74959
7.3,0.863323,1,0,15,1.17609,0.000169495,-3.77084
7.4,0.869232,1,0,15,1.17609,0.000161536,-3.79173
7.5,0.875061,1,0,15,1.17609,0.000154046,-3.81235
7.6,0.880814,1,0,15,1.17609,0.000147023,-3.83261
7.7,0.886491,1,0,15,1.17609,0.000140439,-3.85251
7.8,0.892095,1,0,15,1.17609,0.000134267,-3.87203
7.9,0.897627,1,0,15,1.17609,0.000128489,-3.89113
8,0.90309,1,0,15,1.17609,0.000123082,-3.9098
8.1,0.908485,1,0,15,1.17609,0.00011803,-3.92801
8.2,0.913814,1,0,15,1.17609,0.000113318,-3.9457
8.3,0.919078,1,0,15,1.17609,0.000108935,-3.96283
8.4,0.924279,1,0,15,1.17609,0.000104862,-3.97938
8.5,0.929419,1,0,15,1.17609,0.000101086,-3.99531
8.6,0.934498,1,0,15,1.17609,9.75868e-05,-4.01061
8.7,0.939519,1,0,15,1.17609,9.43531e-05,-4.02524
8.8,0.944483,1,0,15,1.17609,9.19521e-05,-4.03644
8.9,0.94939,1,0,15,1.17609,8.8842e-05,-4.05138
9,0.954243,1,0,13,1.11394,8.80557e-05,-4.05524
9.1,0.959041,1,0,15,1.17609,8.3828e-05,-4.07661
9.2,0.963788,1,0,13,1.11394,8.15021e-05,-4.08883
9.3,0.968483,1,0,13,1.11394,7.94972e-05,-4.09965
9.4,0.973128,1,0,13,1.11394,7.76501e-05,-4.10986
9.5,0.977724,1,0,13,1.11394,7.5947e-05,-4.11949
9.6,0.982271,1,0,13,1.11394,7.43899e-05,-4.12849
9.7,0.986772,1,0,13,1.11394,7.29707e-05,-4.13685
9.8,0.991226,1,0,13,1.11394,7.16687e-05,-4.14467
9.9,0.995635,1,0,13,1.11394,7.04779e-05,-4.15195
10,1,1,0,13,1.11394,6.94002e-05,-4.15864
10.1,1.00432,1,0,13,1.11394,6.84212e-05,-4.16481
10.2,1.0086,1,0,13,1.11394,6.75202e-05,-4.17057
10.3,1.01284,1,0,13,1.11394,6.6713e-05,-4.17579
10.4,1.01703,1,0,13,1.11394,6.70213e-05,-4.17379
10.5,1.02119,1,0,13,1.11394,6.62636e-05,-4.17872
10.6,1.02531,1,0,13,1.11394,6.55936e-05,-4.18314
10.7,1.02938,1,0,12,1.07918,6.3725e-05,-4.19569
10.8,1.03342,1,0,12,1.07918,6.33946e-05,-4.19795
10.9,1.03743,1,0,12,1.07918,6.28525e-05,-4.20168
11,1.04139,1,0,13,1.11394,6.58499e-05,-4.18145
11.1,1.04532,1,0,13,1.11394,6.50109e-05,-4.18701
11.2,1.04922,1,0,12,1.07918,6.28558e-05,-4.20165
11.3,1.05308,1,0,11,1.04139,6.05057e-05,-4.2182
11.4,1.0569,1,0,11,1.04139,6.00582e-05,-4.22143
11.5,1.0607,1,0,12,1.07918,6.13334e-05,-4.2123
11.6,1.06446,1,0,11,1.04139,5.91478e-05,-4.22806
11.7,1.06819,1,0,12,1.07918,6.03574e-05,-4.21927
11.8,1.07188,1,0,12,1.07918,5.84478e-05,-4.23323
11.9,1.07555,1,0,11,1.04139,5.79158e-05,-4.2372
12,1.07918,1,0,11,1.04139,5.88968e-05,-4.22991
